Id,Category
0,0
1,10
2,8
3,9
4,7
5,3
6,4
7,10
8,8
9,2
10,1
11,0
12,9
13,10
14,8
15,8
16,9
17,4
18,5
19,9
20,3
21,5
22,1
23,3
24,1
25,3
26,2
27,4
28,9
29,1
30,5
31,9
32,3
33,2
34,2
35,2
36,9
37,10
38,10
39,2
40,4
41,2
42,0
43,2
44,5
45,1
46,10
47,3
48,10
49,9
50,10
51,1
52,3
53,3
54,4
55,8
56,7
57,7
58,6
59,9
60,5
61,8
62,2
63,3
64,10
65,1
66,1
67,9
68,2
69,10
70,5
71,5
72,5
73,5
74,9
75,7
76,4
77,1
78,2
79,9
80,4
81,0
82,9
83,8
84,8
85,8
86,4
87,4
88,8
89,6
90,5
91,4
92,7
93,9
94,7
95,6
96,9
97,2
98,6
99,10
100,9
101,5
102,5
103,4
104,4
105,7
106,6
107,5
108,9
109,3
110,5
111,5
112,5
113,3
114,9
115,4
116,9
117,7
118,9
119,3
120,8
121,5
122,0
123,2
124,1
125,5
126,5
127,8
128,10
129,9
130,5
131,0
132,3
133,0
134,1
135,9
136,3
137,10
138,3
139,9
140,2
141,4
142,2
143,5
144,1
145,10
146,10
147,5
148,8
149,5
150,5
151,4
152,9
153,10
154,4
155,1
156,9
157,2
158,8
159,9
160,5
161,2
162,5
163,5
164,9
165,10
166,5
167,8
168,3
169,9
170,5
171,2
172,4
173,4
174,8
175,2
176,2
177,10
178,8
179,5
180,4
181,8
182,9
183,6
184,10
185,9
186,10
187,5
188,9
189,4
190,1
191,7
192,1
193,4
194,4
195,5
196,8
197,9
198,0
199,9
200,9
201,2
202,5
203,7
204,4
205,5
206,0
207,9
208,10
209,4
210,2
211,4
212,10
213,2
214,2
215,0
216,10
217,1
218,9
219,5
220,5
221,2
222,2
223,7
224,5
225,5
226,9
227,9
228,6
229,3
230,8
231,2
232,7
233,2
234,4
235,2
236,9
237,10
238,1
239,9
240,0
241,3
242,2
243,0
244,2
245,5
246,4
247,9
248,10
249,5
250,9
251,3
252,2
253,5
254,5
255,6
256,3
257,9
258,3
259,8
260,4
261,5
262,8
263,10
264,4
265,9
266,1
267,10
268,0
269,9
270,4
271,2
272,10
273,5
274,0
275,9
276,9
277,5
278,2
279,9
280,9
281,9
282,2
283,0
284,10
285,0
286,2
287,4
288,9
289,10
290,9
291,4
292,8
293,10
294,5
295,6
296,7
297,4
298,10
299,5
300,3
301,9
302,4
303,1
304,0
305,10
306,2
307,3
308,9
309,2
310,9
311,3
312,3
313,8
314,2
315,3
316,7
317,5
318,0
319,9
320,3
321,2
322,5
323,8
324,4
325,3
326,5
327,6
328,10
329,10
330,1
331,0
332,10
333,9
334,4
335,2
336,3
337,1
338,0
339,5
340,9
341,6
342,4
343,3
344,0
345,4
346,4
347,6
348,0
349,9
350,4
351,8
352,0
353,0
354,7
355,3
356,4
357,10
358,10
359,4
360,4
361,5
362,10
363,2
364,2
365,5
366,0
367,3
368,9
369,9
370,9
371,0
372,5
373,4
374,6
375,4
376,9
377,9
378,2
379,5
380,10
381,6
382,3
383,2
384,9
385,3
386,4
387,10
388,10
389,0
390,2
391,3
392,10
393,10
394,7
395,9
396,8
397,4
398,4
399,9
400,9
401,4
402,9
403,9
404,6
405,3
406,0
407,5
408,5
409,4
410,9
411,7
412,0
413,9
414,1
415,7
416,4
417,4
418,0
419,2
420,5
421,9
422,5
423,4
424,6
425,3
426,8
427,9
428,9
429,9
430,9
431,3
432,8
433,8
434,3
435,2
436,8
437,10
438,2
439,9
440,10
441,4
442,9
443,0
444,2
445,3
446,5
447,10
448,0
449,9
450,4
451,9
452,2
453,2
454,6
455,6
456,4
457,4
458,9
459,10
460,10
461,9
462,10
463,4
464,2
465,4
466,7
467,7
468,9
469,1
470,5
471,4
472,8
473,10
474,9
475,5
476,4
477,2
478,1
479,6
480,3
481,4
482,9
483,1
484,10
485,5
486,9
487,9
488,5
489,9
490,3
491,4
492,7
493,2
494,5
495,2
496,8
497,3
498,10
499,10
500,6
501,1
502,5
503,9
504,0
505,6
506,6
507,8
508,10
509,10
510,2
511,7
512,9
513,4
514,9
515,2
516,9
517,9
518,2
519,3
520,2
521,3
522,7
523,9
524,5
525,2
526,9
527,9
528,6
529,4
530,4
531,1
532,4
533,3
534,7
535,10
536,3
537,4
538,8
539,4
540,2
541,1
542,5
543,0
544,9
545,8
546,7
547,5
548,3
549,5
550,9
551,5
552,9
553,6
554,4
555,8
556,9
557,5
558,6
559,5
560,10
561,1
562,3
563,8
564,3
565,4
566,5
567,9
568,5
569,9
570,5
571,5
572,4
573,5
574,2
575,4
576,8
577,0
578,1
579,2
580,9
581,5
582,5
583,9
584,1
585,10
586,2
587,2
588,6
589,2
590,9
591,0
592,4
593,5
594,0
595,9
596,0
597,0
598,4
599,4
600,5
601,10
602,0
603,6
604,9
605,9
606,9
607,4
608,5
609,3
610,4
611,0
612,2
613,3
614,9
615,10
616,8
617,9
618,4
619,9
620,7
621,8
622,4
623,5
624,9
625,5
626,8
627,8
628,10
629,6
630,3
631,3
632,5
633,2
634,9
635,10
636,9
637,1
638,5
639,6
640,10
641,3
642,9
643,10
644,9
645,9
646,7
647,5
648,5
649,3
650,7
651,10
652,8
653,5
654,2
655,5
656,5
657,5
658,9
659,0
660,1
661,6
662,3
663,9
664,9
665,3
666,7
667,4
668,9
669,0
670,7
671,9
672,2
673,4
674,5
675,5
676,3
677,5
678,5
679,1
680,2
681,3
682,5
683,8
684,8
685,0
686,2
687,0
688,10
689,6
690,2
691,9
692,1
693,5
694,8
695,8
696,6
697,8
698,0
699,9
700,8
701,8
702,10
703,0
704,5
705,10
706,8
707,7
708,5
709,0
710,5
711,5
712,6
713,9
714,6
715,4
716,4
717,5
718,4
719,9
720,10
721,6
722,4
723,10
724,9
725,4
726,5
727,3
728,3
729,3
730,10
731,9
732,1
733,5
734,4
735,1
736,3
737,10
738,1
739,7
740,10
741,3
742,3
743,3
744,7
745,4
746,10
747,9
748,6
749,8
750,4
751,0
752,5
753,5
754,8
755,2
756,10
757,10
758,9
759,1
760,2
761,4
762,3
763,7
764,1
765,3
766,0
767,9
768,5
769,10
770,2
771,4
772,2
773,5
774,5
775,9
776,1
777,5
778,5
779,4
780,9
781,6
782,5
783,9
784,3
785,8
786,9
787,0
788,8
789,10
790,4
791,8
792,7
793,9
794,7
795,9
796,9
797,2
798,3
799,2
800,9
801,1
802,4
803,10
804,0
805,3
806,10
807,8
808,10
809,4
810,4
811,9
812,0
813,5
814,5
815,4
816,5
817,9
818,8
819,3
820,8
821,8
822,9
823,10
824,5
825,3
826,4
827,4
828,9
829,10
830,3
831,0
832,10
833,0
834,10
835,6
836,5
837,1
838,2
839,3
840,5
841,10
842,9
843,9
844,8
845,4
846,3
847,4
848,8
849,5
850,2
851,1
852,4
853,3
854,10
855,10
856,10
857,10
858,0
859,8
860,1
861,0
862,0
863,9
864,3
865,0
866,2
867,10
868,8
869,2
870,2
871,0
872,5
873,6
874,9
875,0
876,8
877,2
878,5
879,10
880,5
881,5
882,9
883,6
884,4
885,8
886,8
887,4
888,5
889,5
890,6
891,2
892,5
893,4
894,7
895,2
896,1
897,5
898,4
899,9
900,6
901,10
902,8
903,2
904,5
905,8
906,7
907,5
908,9
909,0
910,10
911,8
912,4
913,2
914,4
915,3
916,5
917,3
918,9
919,4
920,9
921,0
922,8
923,9
924,9
925,4
926,2
927,8
928,4
929,9
930,9
931,2
932,2
933,0
934,0
935,5
936,1
937,9
938,8
939,1
940,9
941,4
942,3
943,10
944,9
945,10
946,3
947,10
948,8
949,3
950,10
951,4
952,9
953,9
954,1
955,2
956,6
957,6
958,8
959,4
960,1
961,4
962,7
963,10
964,5
965,0
966,9
967,5
968,2
969,4
970,10
971,0
972,4
973,2
974,3
975,4
976,7
977,5
978,9
979,0
980,3
981,6
982,3
983,9
984,0
985,2
986,10
987,2
988,10
989,9
990,5
991,7
992,5
993,6
994,2
995,8
996,3
997,2
998,9
999,4
1000,9
1001,2
1002,10
1003,7
1004,1
1005,6
1006,0
1007,2
1008,9
1009,5
1010,5
1011,3
1012,7
1013,8
1014,0
1015,10
1016,4
1017,5
1018,2
1019,9
1020,10
1021,9
1022,5
1023,8
1024,9
1025,5
1026,10
1027,3
1028,4
1029,5
1030,10
1031,4
1032,7
1033,1
1034,8
1035,10
1036,10
1037,0
1038,8
1039,8
1040,9
1041,8
1042,9
1043,9
1044,3
1045,9
1046,9
1047,5
1048,4
1049,9
1050,10
1051,9
1052,9
1053,8
1054,10
1055,9
1056,9
1057,5
1058,3
1059,9
1060,10
1061,10
1062,5
1063,10
1064,9
1065,5
1066,2
1067,10
1068,9
1069,9
1070,9
1071,6
1072,2
1073,9
1074,10
1075,4
1076,8
1077,5
1078,7
1079,10
1080,9
1081,5
1082,7
1083,9
1084,4
1085,3
1086,7
1087,5
1088,9
1089,0
1090,1
1091,5
1092,2
1093,5
1094,9
1095,2
1096,10
1097,1
1098,9
1099,6
1100,7
1101,1
1102,5
1103,4
1104,6
1105,9
1106,9
1107,10
1108,8
1109,9
1110,2
1111,9
1112,2
1113,9
1114,3
1115,3
1116,5
1117,5
1118,9
1119,6
1120,6
1121,9
1122,7
1123,4
1124,1
1125,9
1126,6
1127,2
1128,8
1129,4
1130,0
1131,9
1132,5
1133,3
1134,4
1135,5
1136,10
1137,9
1138,0
1139,0
1140,10
1141,9
1142,8
1143,2
1144,9
1145,10
1146,9
1147,10
1148,3
1149,10
1150,4
1151,2
1152,6
1153,9
1154,2
1155,9
1156,5
1157,5
1158,2
1159,9
1160,9
1161,5
1162,9
1163,9
1164,3
1165,2
1166,4
1167,5
1168,9
1169,6
1170,4
1171,9
1172,9
1173,2
1174,8
1175,0
1176,10
1177,1
1178,4
1179,4
1180,3
1181,6
1182,3
1183,5
1184,2
1185,6
1186,6
1187,4
1188,5
1189,9
1190,7
1191,10
1192,8
1193,6
1194,10
1195,3
1196,9
1197,4
1198,4
1199,9
1200,5
1201,3
1202,1
1203,3
1204,8
1205,5
1206,8
1207,9
1208,9
1209,3
1210,9
1211,10
1212,5
1213,10
1214,2
1215,8
1216,8
1217,10
1218,0
1219,9
1220,10
1221,5
1222,5
1223,1
1224,6
1225,6
1226,2
1227,6
1228,1
1229,9
1230,4
1231,4
1232,10
1233,10
1234,4
1235,8
1236,4
1237,0
1238,0
1239,9
1240,2
1241,0
1242,8
1243,7
1244,9
1245,8
1246,4
1247,5
1248,3
1249,5
1250,8
1251,9
1252,10
1253,9
1254,5
1255,10
1256,4
1257,10
1258,5
1259,1
1260,0
1261,2
1262,3
1263,0
1264,4
1265,9
1266,5
1267,10
1268,10
1269,3
1270,10
1271,2
1272,0
1273,0
1274,1
1275,1
1276,5
1277,0
1278,6
1279,2
1280,2
1281,1
1282,9
1283,0
1284,7
1285,5
1286,1
1287,9
1288,10
1289,8
1290,8
1291,8
1292,5
1293,5
1294,4
1295,5
1296,2
1297,4
1298,9
1299,0
1300,9
1301,5
1302,5
1303,4
1304,0
1305,1
1306,1
1307,9
1308,1
1309,4
1310,3
1311,3
1312,2
1313,9
1314,0
1315,3
1316,4
1317,10
1318,5
1319,10
1320,5
1321,6
1322,3
1323,9
1324,4
1325,2
1326,2
1327,4
1328,4
1329,1
1330,10
1331,4
1332,3
1333,1
1334,5
1335,4
1336,10
1337,1
1338,9
1339,1
1340,5
1341,1
1342,4
1343,10
1344,9
1345,7
1346,8
1347,0
1348,8
1349,0
1350,8
1351,5
1352,2
1353,1
1354,8
1355,0
1356,5
1357,6
1358,8
1359,9
1360,7
1361,4
1362,5
1363,5
1364,10
1365,7
1366,0
1367,8
1368,0
1369,9
1370,8
1371,9
1372,2
1373,4
1374,9
1375,9
1376,10
1377,9
1378,4
1379,8
1380,4
1381,3
1382,8
1383,3
1384,5
1385,4
1386,0
1387,8
1388,9
1389,1
1390,10
1391,5
1392,9
1393,5
1394,2
1395,4
1396,10
1397,2
1398,8
1399,9
1400,8
1401,9
1402,9
1403,9
1404,9
1405,4
1406,3
1407,4
1408,5
1409,2
1410,0
1411,4
1412,6
1413,8
1414,1
1415,5
1416,8
1417,0
1418,5
1419,0
1420,10
1421,0
1422,3
1423,1
1424,10
1425,6
1426,0
1427,10
1428,2
1429,1
1430,9
1431,7
1432,8
1433,3
1434,8
1435,0
1436,5
1437,10
1438,5
1439,5
1440,2
1441,3
1442,0
1443,8
1444,10
1445,10
1446,1
1447,10
1448,5
1449,0
1450,3
1451,4
1452,8
1453,9
1454,3
1455,9
1456,9
1457,9
1458,4
1459,0
1460,2
1461,0
1462,2
1463,2
1464,9
1465,5
1466,9
1467,9
1468,1
1469,9
1470,2
1471,1
1472,4
1473,5
1474,0
1475,4
1476,9
1477,4
1478,4
1479,6
1480,9
1481,5
1482,9
1483,0
1484,4
1485,2
1486,4
1487,3
1488,0
1489,9
1490,2
1491,3
1492,5
1493,1
1494,10
1495,9
1496,9
1497,4
1498,4
1499,10
1500,4
1501,6
1502,8
1503,2
1504,9
1505,9
1506,6
1507,7
1508,8
1509,4
1510,4
1511,10
1512,7
1513,0
1514,5
1515,9
1516,10
1517,5
1518,5
1519,1
1520,2
1521,2
1522,3
1523,4
1524,4
1525,5
1526,5
1527,4
1528,4
1529,4
1530,10
1531,4
1532,9
1533,0
1534,6
1535,0
1536,3
1537,2
1538,7
1539,4
1540,9
1541,6
1542,4
1543,6
1544,6
1545,6
1546,9
1547,10
1548,10
1549,4
1550,0
1551,8
1552,6
1553,9
1554,5
1555,4
1556,0
1557,4
1558,10
1559,9
1560,0
1561,10
1562,3
1563,4
1564,7
1565,6
1566,9
1567,3
1568,2
1569,4
1570,3
1571,4
1572,10
1573,2
1574,10
1575,4
1576,2
1577,9
1578,2
1579,7
1580,9
1581,6
1582,1
1583,9
1584,8
1585,2
1586,4
1587,5
1588,4
1589,0
1590,8
1591,10
1592,9
1593,10
1594,5
1595,5
1596,5
1597,7
1598,1
1599,10
1600,9
1601,9
1602,5
1603,1
1604,8
1605,8
1606,0
1607,4
1608,3
1609,0
1610,9
1611,6
1612,9
1613,9
1614,6
1615,0
1616,4
1617,10
1618,3
1619,3
1620,4
1621,0
1622,2
1623,1
1624,10
1625,2
1626,4
1627,1
1628,9
1629,1
1630,5
1631,1
1632,5
1633,9
1634,8
1635,3
1636,8
1637,3
1638,5
1639,1
1640,5
1641,1
1642,5
1643,0
1644,3
1645,2
1646,1
1647,3
1648,4
1649,8
1650,7
1651,3
1652,5
1653,8
1654,9
1655,3
1656,1
1657,3
1658,5
1659,4
1660,2
1661,4
1662,1
1663,5
1664,5
1665,10
1666,8
1667,4
1668,0
1669,4
1670,9
1671,9
1672,7
1673,5
1674,9
1675,0
1676,5
1677,7
1678,5
1679,3
1680,5
1681,5
1682,4
1683,1
1684,5
1685,10
1686,2
1687,0
1688,8
1689,10
1690,4
1691,2
1692,5
1693,9
1694,5
1695,9
1696,2
1697,9
1698,9
1699,5
1700,5
1701,9
1702,8
1703,0
1704,4
1705,8
1706,10
1707,10
1708,4
1709,6
1710,3
1711,10
1712,5
1713,5
1714,4
1715,9
1716,2
1717,5
1718,9
1719,5
1720,3
1721,0
1722,4
1723,4
1724,9
1725,9
1726,4
1727,10
1728,2
1729,3
1730,3
1731,2
1732,9
1733,5
1734,0
1735,0
1736,7
1737,6
1738,0
1739,8
1740,5
1741,0
1742,9
1743,9
1744,3
1745,0
1746,10
1747,4
1748,9
1749,9
1750,1
1751,4
1752,3
1753,3
1754,3
1755,5
1756,3
1757,7
1758,5
1759,9
1760,1
1761,4
1762,9
1763,6
1764,2
1765,9
1766,3
1767,5
1768,5
1769,8
1770,5
1771,10
1772,10
1773,10
1774,4
1775,5
1776,4
1777,9
1778,1
1779,5
1780,4
1781,10
1782,5
1783,9
1784,9
1785,7
1786,9
1787,8
1788,0
1789,9
1790,8
1791,7
1792,9
1793,0
1794,9
1795,1
1796,5
1797,10
1798,5
1799,1
1800,1
1801,4
1802,5
1803,8
1804,6
1805,7
1806,9
1807,5
1808,9
1809,2
1810,9
1811,4
1812,5
1813,2
1814,10
1815,2
1816,9
1817,3
1818,2
1819,10
1820,9
1821,10
1822,9
1823,0
1824,1
1825,1
1826,10
1827,9
1828,9
1829,5
1830,0
1831,2
1832,9
1833,2
1834,9
1835,1
1836,3
1837,9
1838,6
1839,1
1840,0
1841,0
1842,4
1843,8
1844,0
1845,5
1846,6
1847,2
1848,3
1849,0
1850,2
1851,5
1852,2
1853,4
1854,7
1855,1
1856,6
1857,5
1858,2
1859,6
1860,10
1861,1
1862,0
1863,3
1864,8
1865,0
1866,2
1867,2
1868,1
1869,3
1870,1
1871,5
1872,5
1873,10
1874,5
1875,10
1876,8
1877,9
1878,4
1879,6
1880,3
1881,8
1882,5
1883,2
1884,4
1885,2
1886,9
1887,10
1888,5
1889,4
1890,4
1891,9
1892,9
1893,7
1894,8
1895,8
1896,5
1897,5
1898,0
1899,0
1900,2
1901,3
1902,3
1903,0
1904,8
1905,2
1906,4
1907,5
1908,1
1909,5
1910,10
1911,3
1912,3
1913,9
1914,9
1915,9
1916,9
1917,5
1918,8
1919,3
1920,5
1921,5
1922,10
1923,0
1924,0
1925,5
