AL,AK,AZ,AR,CA,CO,CT,FL,GA,ID,IL,IN,IA,KS,KY,LA,MD,MA,MI,MN,MS,MO,NE,NV,NJ,NM,NY,NC,OH,OK,OR,PA,RI,SC,TX,UT,VA,WA,WV,WI,cli,ili,hh_cmnty_cli,nohh_cmnty_cli,tested_positive,cli.1,ili.1,hh_cmnty_cli.1,nohh_cmnty_cli.1,tested_positive.1,cli.2,ili.2,hh_cmnty_cli.2,nohh_cmnty_cli.2,tested_positive.2
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81461,0.7713562,25.6489069,21.2420632,19.586492,0.8389952,0.8077665,25.6791006,21.2802696,20.1518381,0.8978015,0.8878931,26.0605436,21.5038315,20.7049346
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8389952,0.8077665,25.6791006,21.2802696,20.1518381,0.8978015,0.8878931,26.0605436,21.5038315,20.7049346,0.9728421,0.9654959,25.7540871,21.0162096,21.2929114
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8978015,0.8878931,26.0605436,21.5038315,20.7049346,0.9728421,0.9654959,25.7540871,21.0162096,21.2929114,0.9553056,0.9630788,25.9470152,20.9417983,21.1666563
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9728421,0.9654959,25.7540871,21.0162096,21.2929114,0.9553056,0.9630788,25.9470152,20.9417983,21.1666563,0.9475134,0.9687637,26.3505008,21.1099714,19.8966066
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9553056,0.9630788,25.9470152,20.9417983,21.1666563,0.9475134,0.9687637,26.3505008,21.1099714,19.8966066,0.8838331,0.8930201,26.4806235,21.0039825,20.1784284
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9475134,0.9687637,26.3505008,21.1099714,19.8966066,0.8838331,0.8930201,26.4806235,21.0039825,20.1784284,0.887642,0.850387,26.6658737,20.9870792,18.1318136
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8838331,0.8930201,26.4806235,21.0039825,20.1784284,0.887642,0.850387,26.6658737,20.9870792,18.1318136,0.8265824,0.7929243,26.8403605,21.2625451,15.5174904
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887642,0.850387,26.6658737,20.9870792,18.1318136,0.8265824,0.7929243,26.8403605,21.2625451,15.5174904,0.8426527,0.764839,27.1729096,21.5698047,15.9616371
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8265824,0.7929243,26.8403605,21.2625451,15.5174904,0.8426527,0.764839,27.1729096,21.5698047,15.9616371,0.8889316,0.7809198,26.9189554,21.5439154,13.0685272
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8426527,0.764839,27.1729096,21.5698047,15.9616371,0.8889316,0.7809198,26.9189554,21.5439154,13.0685272,0.8410328,0.7385124,26.3544523,20.9374284,15.1780877
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8889316,0.7809198,26.9189554,21.5439154,13.0685272,0.8410328,0.7385124,26.3544523,20.9374284,15.1780877,0.7811583,0.6775261,25.9597155,20.5917437,14.7806568
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8410328,0.7385124,26.3544523,20.9374284,15.1780877,0.7811583,0.6775261,25.9597155,20.5917437,14.7806568,0.885557,0.7898019,25.6501814,20.4772117,15.2567446
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7811583,0.6775261,25.9597155,20.5917437,14.7806568,0.885557,0.7898019,25.6501814,20.4772117,15.2567446,0.9208908,0.8537597,25.064116,20.429421,15.3424609
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.885557,0.7898019,25.6501814,20.4772117,15.2567446,0.9208908,0.8537597,25.064116,20.429421,15.3424609,0.9295106,0.8790621,25.1766239,20.2627457,16.666583
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9208908,0.8537597,25.064116,20.429421,15.3424609,0.9295106,0.8790621,25.1766239,20.2627457,16.666583,0.9316519,0.8981012,25.0436423,19.9102651,18.3334531
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9295106,0.8790621,25.1766239,20.2627457,16.666583,0.9316519,0.8981012,25.0436423,19.9102651,18.3334531,0.9832923,0.9730546,25.3939814,19.9514466,19.2308453
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9316519,0.8981012,25.0436423,19.9102651,18.3334531,0.9832923,0.9730546,25.3939814,19.9514466,19.2308453,1.0917114,1.0813694,25.584532,20.2165117,16.2834793
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9832923,0.9730546,25.3939814,19.9514466,19.2308453,1.0917114,1.0813694,25.584532,20.2165117,16.2834793,1.1296003,1.1192884,26.072756,20.5731176,18.0296455
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0917114,1.0813694,25.584532,20.2165117,16.2834793,1.1296003,1.1192884,26.072756,20.5731176,18.0296455,1.0776285,1.0875321,25.858358,20.4646178,15.6017395
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1296003,1.1192884,26.072756,20.5731176,18.0296455,1.0776285,1.0875321,25.858358,20.4646178,15.6017395,1.0849198,1.0950034,26.6933223,21.0643762,16.4094684
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0776285,1.0875321,25.858358,20.4646178,15.6017395,1.0849198,1.0950034,26.6933223,21.0643762,16.4094684,1.2493568,1.2493568,26.9445283,21.2856278,15.6245945
