Id,Category
0,3
1,10
2,10
3,9
4,7
5,3
6,4
7,10
8,0
9,2
10,1
11,0
12,9
13,10
14,5
15,4
16,9
17,1
18,5
19,9
20,3
21,5
22,1
23,3
24,1
25,3
26,10
27,4
28,9
29,3
30,5
31,9
32,3
33,5
34,5
35,2
36,5
37,10
38,10
39,3
40,7
41,2
42,5
43,0
44,5
45,1
46,10
47,3
48,10
49,9
50,10
51,1
52,3
53,3
54,6
55,8
56,0
57,7
58,6
59,9
60,5
61,8
62,6
63,3
64,10
65,1
66,1
67,9
68,2
69,10
70,5
71,5
72,5
73,8
74,5
75,7
76,3
77,1
78,9
79,9
80,0
81,1
82,9
83,8
84,3
85,8
86,4
87,4
88,10
89,9
90,1
91,0
92,4
93,9
94,7
95,6
96,1
97,2
98,6
99,10
100,7
101,5
102,5
103,5
104,4
105,7
106,6
107,5
108,9
109,10
110,5
111,5
112,4
113,3
114,9
115,4
116,9
117,7
118,9
119,3
120,3
121,5
122,0
123,5
124,1
125,8
126,7
127,8
128,10
129,9
130,5
131,0
132,10
133,0
134,1
135,2
136,3
137,10
138,3
139,1
140,8
141,4
142,5
143,5
144,1
145,4
146,9
147,5
148,10
149,5
150,5
151,4
152,6
153,10
154,10
155,1
156,1
157,4
158,8
159,2
160,5
161,2
162,5
163,5
164,9
165,10
166,8
167,8
168,3
169,9
170,8
171,1
172,4
173,4
174,1
175,8
176,2
177,10
178,8
179,5
180,3
181,8
182,9
183,6
184,10
185,9
186,8
187,5
188,0
189,4
190,1
191,3
192,1
193,4
194,7
195,5
196,8
197,9
198,4
199,4
200,9
201,10
202,5
203,7
204,4
205,9
206,0
207,4
208,10
209,4
210,8
211,5
212,10
213,3
214,1
215,8
216,10
217,1
218,9
219,5
220,4
221,5
222,5
223,7
224,5
225,5
226,9
227,9
228,6
229,3
230,0
231,2
232,7
233,2
234,4
235,9
236,4
237,10
238,0
239,9
240,0
241,3
242,0
243,4
244,6
245,5
246,0
247,9
248,10
249,6
250,9
251,3
252,5
253,9
254,5
255,0
256,7
257,9
258,4
259,0
260,8
261,5
262,5
263,10
264,5
265,9
266,1
267,0
268,3
269,9
270,4
271,3
272,10
273,5
274,0
275,9
276,9
277,5
278,2
279,9
280,9
281,9
282,2
283,0
284,10
285,7
286,5
287,4
288,3
289,10
290,9
291,4
292,3
293,10
294,5
295,6
296,7
297,4
298,10
299,5
300,7
301,9
302,3
303,1
304,0
305,10
306,5
307,10
308,9
309,3
310,1
311,3
312,1
313,10
314,1
315,0
316,7
317,3
318,5
319,9
320,1
321,2
322,5
323,0
324,4
325,3
326,5
327,6
328,10
329,1
330,8
331,0
332,10
333,9
334,4
335,3
336,3
337,1
338,5
339,10
340,9
341,6
342,5
343,3
344,3
345,4
346,4
347,6
348,4
349,9
350,4
351,8
352,6
353,1
354,7
355,2
356,0
357,10
358,10
359,4
360,1
361,5
362,10
363,5
364,1
365,5
366,4
367,5
368,10
369,6
370,9
371,4
372,5
373,4
374,7
375,3
376,9
377,9
378,1
379,5
380,10
381,6
382,0
383,9
384,4
385,0
386,3
387,10
388,10
389,8
390,0
391,7
392,10
393,10
394,7
395,9
396,10
397,8
398,4
399,9
400,9
401,4
402,9
403,9
404,7
405,3
406,10
407,5
408,5
409,4
410,9
411,7
412,0
413,9
414,3
415,7
416,4
417,4
418,2
419,8
420,5
421,9
422,5
423,4
424,3
425,8
426,3
427,9
428,9
429,9
430,5
431,5
432,7
433,5
434,3
435,2
436,8
437,10
438,1
439,1
440,10
441,4
442,1
443,2
444,5
445,3
446,0
447,10
448,3
449,9
450,4
451,9
452,3
453,2
454,6
455,6
456,5
457,4
458,8
459,10
460,10
461,9
462,10
463,4
464,2
465,9
466,7
467,7
468,9
469,0
470,5
471,4
472,8
473,8
474,9
475,5
476,6
477,5
478,1
479,6
480,5
481,4
482,3
483,1
484,10
485,4
486,1
487,9
488,5
489,9
490,3
491,5
492,7
493,2
494,5
495,2
496,8
497,10
498,3
499,10
500,6
501,1
502,5
503,9
504,0
505,7
506,6
507,10
508,10
509,10
510,2
511,6
512,9
513,4
514,3
515,2
516,9
517,9
518,5
519,0
520,5
521,8
522,7
523,9
524,5
525,2
526,5
527,9
528,6
529,4
530,4
531,1
532,4
533,3
534,7
535,10
536,1
537,0
538,8
539,6
540,2
541,1
542,5
543,3
544,9
545,8
546,0
547,5
548,3
549,10
550,9
551,5
552,3
553,6
554,4
555,10
556,1
557,5
558,9
559,5
560,7
561,1
562,5
563,8
564,0
565,4
566,5
567,1
568,5
569,3
570,5
571,5
572,3
573,5
574,8
575,4
576,10
577,0
578,3
579,1
580,9
581,5
582,9
583,9
584,3
585,10
586,8
587,4
588,7
589,5
590,9
591,0
592,4
593,5
594,0
595,9
596,0
597,1
598,4
599,4
600,5
601,10
602,0
603,6
604,3
605,9
606,9
607,5
608,5
609,3
610,5
611,9
612,5
613,3
614,9
615,10
616,8
617,9
618,0
619,9
620,7
621,0
622,4
623,5
624,9
625,4
626,3
627,4
628,3
629,6
630,3
631,0
632,5
633,2
634,9
635,3
636,9
637,1
638,8
639,4
640,10
641,0
642,1
643,10
644,3
645,0
646,7
647,5
648,4
649,3
650,7
651,10
652,8
653,5
654,1
655,5
656,5
657,5
658,9
659,3
660,1
661,6
662,3
663,9
664,9
665,3
666,7
667,5
668,9
669,0
670,7
671,9
672,1
673,6
674,5
675,5
676,3
677,5
678,5
679,1
680,1
681,3
682,5
683,5
684,4
685,0
686,6
687,0
688,10
689,6
690,5
691,9
692,1
693,5
694,0
695,8
696,6
697,8
698,0
699,9
700,7
701,3
702,10
703,4
704,0
705,10
706,8
707,0
708,5
709,9
710,5
711,10
712,6
713,9
714,6
715,4
716,4
717,5
718,4
719,9
720,10
721,6
722,4
723,10
724,9
725,4
726,5
727,3
728,5
729,4
730,10
731,7
732,1
733,6
734,4
735,1
736,3
737,8
738,1
739,7
740,3
741,3
742,8
743,3
744,7
745,4
746,1
747,9
748,6
749,8
750,5
751,2
752,5
753,5
754,5
755,5
756,10
757,10
758,9
759,10
760,4
761,4
762,0
763,7
764,1
765,1
766,2
767,9
768,9
769,10
770,6
771,4
772,0
773,5
774,6
775,2
776,1
777,5
778,10
779,4
780,9
